id,name,location,shopping,resident,building,weekend,workday,worknight
B00155HDZV,中国石化加油站(解放岛东环路),"121.284580,31.257957",0.311111111,1.796500722,0.626623377,1.085357143,0.648957431,1.116908369
B00155DSUP,中国石化唐行加油站,"121.244911,31.454984",0,2.5,0,1.25,0.25,1.25
B001500231,中国石化加油站(浏翔公路),"121.285853,31.447696",0,1.866666667,0,0.933333333,0.186666667,0.933333333
B00155KA7T,中国海油服务区加油站,"121.334156,31.252071",2.628968254,15.02207792,7.132936508,9.275919913,6.570660173,9.726316739
B00155DSS9,中国石化高家加油站,"121.277709,31.269334",0.311111111,5.095707071,0.95995671,2.768293651,1.178878066,2.833178211
B00155HDCT,中国石油加油站(高庙路),"121.250656,31.438046",0,0.5,0.25,0.275,0.2,0.3
B00156E51T,中国石化加油站(嘉定环城路),"121.242913,31.390706",1.541378066,19.76159951,5.850804751,11.08243146,5.949056222,11.51337413
B001500483,中国石油加油站(新黄西路),"121.206628,31.268109",1.05,6.079761905,1.619047619,3.621785714,1.894404762,3.678690476
B00154D6R5,中国石化三嘉加油站,"121.239028,31.371683",2.752489177,27.39706127,9.56985237,15.75651154,9.307364302,16.43824786
B0015001C4,中国石化竹筱加油站,"121.221964,31.386871",1.064393939,18.599889,5.009102009,10.22661228,5.184768287,10.62108308
B0015001DC,中国石化胜辛加油站,"121.242142,31.351609",1.277777778,18.48981296,8.753571429,10.63137474,7.484457487,11.3789541
B00155KA5F,中国海油星祥加油站(装修中),"121.373147,31.252686",1.31468254,12.34264069,5.041269841,7.201320346,4.653430736,7.573979076
B00150049C,中国石化安亭加油站,"121.170752,31.288693",1.808333333,18.8734127,9.102777778,11.07031746,7.891507937,11.7997619
B00155LWT3,中国海油通城中国海油服务区加油站(装修中),"121.271585,31.361907",2.230663781,20.17483905,8.63532856,11.84321789,7.867880175,12.48368437
B00155QQTB,中国石化加油站,"121.363561,31.254415",1.56468254,14.85335498,6.215873016,8.674137807,5.684264069,9.139256854
B00155HDDA,中国石化加油站(上海天信粘扣带有限公司东北),"121.173911,31.366761",0.2,2.492857143,0.45,1.371428571,0.579285714,1.396428571
B00155H66H,中国海油城建加油站,"121.18739,31.405309",0,3.833333333,2.833333333,2.2,2.083333333,2.483333333
